,precision,recall,f1-score,support
alarm,0.8611111111111112,0.8072916666666666,0.8333333333333334,192.0
baby_cry,0.95,0.7916666666666666,0.8636363636363635,24.0
dog_bark,0.9891304347826086,0.91,0.9479166666666667,100.0
engine,0.7909604519774012,0.9090909090909091,0.8459214501510575,154.0
fire,0.7241379310344828,0.5753424657534246,0.6412213740458015,73.0
footsteps,0.7942583732057417,0.907103825136612,0.846938775510204,183.0
knocking,0.967741935483871,0.8333333333333334,0.8955223880597015,36.0
piano,0.9636363636363636,0.9352941176470588,0.9492537313432835,170.0
speech,0.9324894514767933,0.91701244813278,0.9246861924686192,482.0
telephone_ringing,0.7435897435897436,0.9354838709677419,0.8285714285714285,31.0
accuracy,0.8809688581314878,0.8809688581314878,0.8809688581314878,0.8809688581314878
macro avg,0.8717055796298115,0.8521619303395193,0.857700170378646,1445.0
weighted avg,0.884590814420055,0.8809688581314878,0.8806824901695567,1445.0
